"","loan_id","account_id","amount","duration","payments","status","loan_year","loan_month","loan_day"
"1",5314,1787,96396,12,8033,-1,1993,7,5
"2",5316,1801,165960,36,4610,1,1993,7,11
"3",6863,9188,127080,60,2118,1,1993,7,28
"4",5325,1843,105804,36,2939,1,1993,8,3
"5",7240,11013,274740,60,4579,1,1993,9,6
"6",6687,8261,87840,24,3660,1,1993,9,13
"7",7284,11265,52788,12,4399,1,1993,9,15
"8",6111,5428,174744,24,7281,-1,1993,9,24
"9",7235,10973,154416,48,3217,1,1993,10,13
"10",5997,4894,117024,24,4876,1,1993,11,4
"11",7121,10364,21924,36,609,1,1993,11,10
"12",6077,5270,79608,24,3317,1,1993,11,22
"13",6228,6034,464520,60,7742,-1,1993,12,1
"14",6356,6701,95400,36,2650,1,1993,12,8
"15",5523,2705,93888,36,2608,1,1993,12,8
"16",6456,7123,47016,12,3918,1,1993,12,9
"17",7104,10320,259740,60,4329,1,1993,12,13
"18",6820,9034,38148,12,3179,1,1993,12,16
"19",6876,9236,86616,12,7218,1,1993,12,21
"20",7097,10266,75624,24,3151,-1,1993,12,23
"21",4959,2,80952,24,3373,1,1994,1,5
"22",6499,7401,80952,24,3373,1,1994,1,5
"23",5479,2486,24516,12,2043,1,1994,1,10
"24",5170,1071,253200,60,4220,1,1994,1,20
"25",6721,8475,21072,24,878,1,1994,1,21
"26",7259,11111,108144,36,3004,1,1994,1,31
"27",5285,1603,78936,12,6578,1,1994,2,6
"28",5189,1166,149040,48,3105,1,1994,2,7
"29",6650,8073,49320,12,4110,-1,1994,2,17
"30",7226,10940,197748,36,5493,1,1994,2,23
"31",6087,5313,300660,60,5011,1,1994,2,27
"32",7262,11135,182628,36,5073,1,1994,3,1
"33",5519,2694,91632,12,7636,1,1994,3,8
"34",6577,7753,51696,24,2154,1,1994,3,11
"35",6509,7445,55368,24,2307,1,1994,3,15
"36",6520,7485,91200,24,3800,1,1994,3,16
"37",6699,8330,7656,24,319,1,1994,3,30
"38",6336,6555,212400,36,5900,1,1994,3,31
"39",7055,10079,167100,60,2785,1,1994,4,6
"40",6103,5385,149340,60,2489,1,1994,4,7
"41",6202,5891,65184,12,5432,1,1994,4,18
"42",7066,10131,215388,36,5983,-1,1994,5,2
"43",6696,8321,89040,60,1484,1,1994,5,9
"44",6072,5256,193968,36,5388,1,1994,5,10
"45",5130,813,24312,12,2026,1,1994,5,11
"46",5568,2933,272520,60,4542,1,1994,5,17
"47",6678,8173,80340,12,6695,1,1994,5,20
"48",6998,9833,97632,12,8136,1,1994,5,21
"49",6580,7769,196080,48,4085,1,1994,5,22
"50",6316,6473,76908,12,6409,-1,1994,5,26
"51",6512,7454,63312,48,1319,1,1994,5,26
"52",6407,6930,25944,24,1081,1,1994,5,26
"53",5002,173,104808,12,8734,1,1994,5,31
"54",6647,8051,208320,48,4340,1,1994,6,1
"55",7137,10439,151560,24,6315,1,1994,6,3
"56",6903,9337,52128,24,2172,1,1994,6,4
"57",5918,4576,300204,36,8339,1,1994,6,4
"58",6642,8027,77640,12,6470,1,1994,6,5
"59",6210,5927,87216,48,1817,-1,1994,6,6
"60",6279,6273,87360,24,3640,1,1994,6,7
"61",7249,11065,69360,48,1445,1,1994,6,12
"62",6736,8558,288360,60,4806,1,1994,6,14
"63",6112,5442,174744,24,7281,-1,1994,6,17
"64",5319,1811,239460,60,3991,1,1994,6,23
"65",6596,7844,91584,24,3816,1,1994,6,25
"66",5837,4260,244560,60,4076,1,1994,6,29
"67",5657,3354,4980,12,415,1,1994,7,5
"68",5533,2762,111384,24,4641,1,1994,7,5
"69",6232,6051,276660,36,7685,-1,1994,7,8
"70",6888,9265,39576,12,3298,1,1994,7,11
"71",6066,5228,173808,24,7242,1,1994,7,11
"72",5549,2824,50460,60,841,1,1994,7,16
"73",5060,426,252060,60,4201,-1,1994,7,19
"74",6004,4937,143904,24,5996,1,1994,7,23
"75",5126,790,208128,48,4336,-1,1994,7,24
"76",7220,10911,131292,36,3647,1,1994,7,28
"77",6668,8129,74736,36,2076,1,1994,7,30
"78",5395,2176,299088,36,8308,-1,1994,7,30
"79",6836,9093,189300,60,3155,1,1994,8,3
"80",6064,5215,14628,12,1219,1,1994,8,4
"81",6919,9403,120888,36,3358,1,1994,8,5
"82",6841,9104,172080,48,3585,1,1994,8,7
"83",6038,5120,323472,48,6739,1,1994,8,10
"84",6729,8519,74688,12,6224,1,1994,8,11
"85",7198,10788,45768,12,3814,1,1994,8,23
"86",6686,8260,224604,36,6239,1,1994,8,25
"87",5836,4259,79632,24,3318,1,1994,8,27
"88",7061,10105,121896,24,5079,1,1994,8,27
"89",5595,3050,82896,12,6908,1,1994,9,2
"90",5723,3674,23628,12,1969,1,1994,9,10
"91",6120,5481,209184,48,4358,1,1994,9,11
"92",6895,9307,41904,12,3492,1,1994,9,19
"93",5882,4427,87816,12,7318,1,1994,9,26
"94",5754,3834,23052,12,1921,1,1994,9,28
"95",6594,7824,189696,24,7904,-1,1994,9,28
"96",6738,8566,230220,36,6395,-1,1994,9,29
"97",6624,7965,71460,12,5955,1,1994,9,30
"98",6216,5952,141240,24,5885,1,1994,9,30
"99",6229,6040,11736,24,489,1,1994,10,2
"100",5887,4448,192744,36,5354,1,1994,10,3
"101",6808,8982,227880,36,6330,1,1994,10,12
"102",6297,6363,17508,12,1459,1,1994,10,25
"103",5161,1012,98184,24,4091,1,1994,10,28
"104",5390,2167,170256,24,7094,1,1994,10,30
"105",6150,5622,83016,12,6918,1,1994,11,2
"106",6223,5991,61056,48,1272,1,1994,11,3
"107",5032,290,123696,48,2577,1,1994,11,3
"108",6253,6148,59760,24,2490,1,1994,11,4
"109",6460,7133,48672,36,1352,1,1994,11,6
"110",6645,8041,140400,36,3900,1,1994,11,6
"111",5176,1106,192552,24,8023,-1,1994,11,12
"112",5269,1527,164052,36,4557,-1,1994,11,19
"113",5351,1978,205200,36,5700,1,1994,12,4
"114",5861,4337,51408,24,2142,1,1994,12,8
"115",5450,2345,199680,60,3328,1,1994,12,11
"116",7142,10451,482940,60,8049,-1,1994,12,19
"117",6306,6425,36684,12,3057,1,1994,12,20
"118",6272,6226,398640,60,6644,1,1994,12,20
"119",5044,344,100980,60,1683,1,1994,12,21
"120",5576,2962,31248,12,2604,1,1994,12,21
"121",7192,10738,115992,36,3222,1,1994,12,21
"122",5739,3747,76380,12,6365,1,1995,1,2
"123",6526,7523,288468,36,8013,1,1995,1,3
"124",5624,3166,177744,48,3703,-1,1995,1,3
"125",6244,6118,270648,36,7518,-1,1995,1,8
"126",5131,816,48624,24,2026,1,1995,1,8
"127",6960,9640,76416,24,3184,1,1995,1,11
"128",6358,6715,137880,60,2298,-1,1995,1,14
"129",5418,2245,347952,48,7249,1,1995,1,16
"130",6598,7857,68112,12,5676,1,1995,1,18
"131",5464,2419,95808,12,7984,1,1995,1,30
"132",6591,7819,20832,48,434,1,1995,2,2
"133",5724,3678,316140,60,5269,-1,1995,2,5
"134",6315,6472,43164,12,3597,1,1995,2,6
"135",5876,4413,221280,48,4610,1,1995,2,8
"136",6986,9750,151728,48,3161,-1,1995,2,11
"137",6294,6353,79920,60,1332,1,1995,2,12
"138",5132,817,538500,60,8975,1,1995,2,17
"139",5877,4414,97224,24,4051,1,1995,2,23
"140",6227,6030,28248,24,1177,1,1995,3,4
"141",7241,11021,168984,24,7041,-1,1995,3,4
"142",6737,8564,76680,24,3195,1,1995,3,11
"143",7004,9869,331560,60,5526,1,1995,3,15
"144",6169,5700,103680,60,1728,-1,1995,3,16
"145",5208,1247,99696,48,2077,-1,1995,3,16
"146",6694,8316,134784,24,5616,1,1995,3,19
"147",5599,3064,15420,12,1285,1,1995,3,21
"148",6546,7607,31728,24,1322,1,1995,3,27
"149",5414,2228,185952,48,3874,1,1995,3,29
"150",5453,2361,156672,36,4352,1,1995,4,1
"151",5740,3752,18564,12,1547,1,1995,4,2
"152",5804,4079,158976,48,3312,1,1995,4,5
"153",6745,8625,47304,24,1971,1,1995,4,10
"154",6950,9591,104712,24,4363,1,1995,4,11
"155",6996,9828,126600,24,5275,1,1995,4,13
"156",5352,1993,68400,12,5700,-1,1995,4,15
"157",6151,5628,225420,60,3757,1,1995,4,25
"158",5310,1762,248148,36,6893,1,1995,4,28
"159",5045,347,187224,24,7801,-1,1995,5,1
"160",6929,9472,36396,12,3033,1,1995,5,8
"161",5151,960,189060,60,3151,1,1995,5,24
"162",5212,1256,71064,36,1974,1,1995,5,29
"163",5138,854,87216,48,1817,1,1995,5,30
"164",5713,3629,158760,60,2646,1,1995,5,30
"165",6704,8377,417060,60,6951,1,1995,6,1
"166",6474,7190,63360,60,1056,1,1995,6,6
"167",6676,8159,29784,24,1241,1,1995,6,13
"168",6965,9656,139536,24,5814,1,1995,6,13
"169",6725,8489,265320,36,7370,1,1995,6,23
"170",7166,10630,198240,24,8260,1,1995,6,24
"171",7138,10440,60000,60,1000,1,1995,7,3
"172",5970,4774,465072,48,9689,1,1995,7,9
"173",6157,5650,98592,24,4108,1,1995,7,10
"174",6153,5632,285600,60,4760,1,1995,7,25
"175",5693,3489,44088,24,1837,1,1995,8,1
"176",5922,4580,20220,12,1685,1,1995,8,5
"177",5959,4727,107640,24,4485,1,1995,8,11
"178",5980,4825,21396,12,1783,1,1995,8,18
"179",6764,8776,33984,48,708,1,1995,8,26
"180",5237,1375,45336,24,1889,1,1995,8,29
"181",6726,8492,85860,60,1431,1,1995,9,3
"182",6933,9493,188688,48,3931,1,1995,9,9
"183",5145,915,309552,48,6449,1,1995,9,16
"184",7008,9897,36168,12,3014,1,1995,9,22
"185",7227,10942,314520,60,5242,1,1995,10,2
"186",6600,7861,21852,36,607,1,1995,10,8
"187",6712,8405,266220,60,4437,1,1995,10,14
"188",7057,10093,231696,36,6436,1,1995,10,20
"189",7176,10663,260028,36,7223,1,1995,10,28
"190",7304,11349,419880,60,6998,1,1995,10,29
"191",6362,6738,37908,12,3159,1,1995,10,31
"192",5880,4423,73836,36,2051,1,1995,10,31
"193",6535,7546,41952,12,3496,1,1995,11,2
"194",5449,2343,99336,24,4139,1,1995,11,4
"195",6342,6609,60156,36,1671,-1,1995,11,12
"196",5409,2218,182040,60,3034,1,1995,11,18
"197",6955,9627,244368,48,5091,1,1995,11,22
"198",6985,9731,113796,36,3161,1,1995,11,22
"199",5125,789,73056,48,1522,1,1995,11,23
"200",5805,4081,137904,24,5746,-1,1995,11,28
"201",6185,5774,31176,24,1299,1,1995,11,28
"202",7243,11042,217152,36,6032,1,1995,12,4
"203",6403,6924,194880,48,4060,1,1995,12,5
"204",6578,7765,27984,12,2332,1,1995,12,11
"205",5413,2227,92976,24,3874,1,1995,12,12
"206",6949,9583,104712,24,4363,1,1995,12,12
"207",6545,7606,191880,60,3198,1,1995,12,12
"208",6178,5742,232560,48,4845,1,1995,12,16
"209",5160,1011,204000,60,3400,1,1995,12,18
"210",6785,8899,125340,60,2089,1,1995,12,25
"211",6540,7562,309600,48,6450,1,1995,12,31
"212",6589,7815,189696,24,7904,1,1996,1,1
"213",5900,4503,135360,48,2820,1,1996,1,1
"214",5999,4907,98832,48,2059,1,1996,1,3
"215",6043,5126,20352,48,424,1,1996,1,11
"216",5482,2496,165120,60,2752,1,1996,1,12
"217",7263,11138,89880,24,3745,1,1996,1,19
"218",6013,4995,128988,36,3583,-1,1996,2,3
"219",5750,3804,63252,12,5271,1,1996,2,8
"220",6027,5066,61656,24,2569,-1,1996,2,10
"221",6303,6400,72408,24,3017,-1,1996,2,12
"222",7213,10884,113544,36,3154,1,1996,2,13
"223",6659,8092,56100,60,935,1,1996,2,20
"224",6175,5735,290700,60,4845,-1,1996,2,21
"225",5610,3112,123216,48,2567,1,1996,2,24
"226",5563,2912,380160,60,6336,1,1996,2,29
"227",5989,4852,213300,36,5925,1,1996,3,4
"228",6698,8327,247728,48,5161,1,1996,3,10
"229",5312,1772,202788,36,5633,1,1996,3,13
"230",7189,10728,154656,48,3222,1,1996,3,21
"231",6816,9017,100224,48,2088,-1,1996,3,26
"232",6137,5574,44628,12,3719,1,1996,4,10
"233",5128,808,215616,48,4492,-1,1996,4,11
"234",5470,2456,200976,48,4187,1,1996,4,15
"235",5593,3037,277884,36,7719,-1,1996,4,18
"236",5350,1967,249312,48,5194,1,1996,4,21
"237",6063,5213,320976,48,6687,-1,1996,4,25
"238",6501,7418,30276,12,2523,-1,1996,4,29
"239",5452,2352,49440,60,824,1,1996,4,29
"240",4961,19,30276,12,2523,-1,1996,4,29
"241",4973,67,165960,24,6915,1,1996,5,2
"242",6190,5794,123600,60,2060,1,1996,5,6
"243",6715,8411,220620,60,3677,1,1996,5,6
"244",5892,4462,66480,24,2770,-1,1996,5,14
"245",6550,7614,320592,48,6679,1,1996,5,18
"246",5706,3608,161496,36,4486,1,1996,5,24
"247",5148,940,284280,60,4738,1,1996,5,29
"248",6734,8547,173016,36,4806,1,1996,5,30
"249",6109,5422,368880,60,6148,1,1996,6,3
"250",6961,9645,176148,36,4893,1,1996,6,6
"251",6810,9006,186384,48,3883,1,1996,6,8
"252",5494,2572,360000,48,7500,1,1996,6,13
"253",5311,1766,30060,60,501,1,1996,6,15
"254",5445,2322,46320,24,1930,1,1996,6,29
"255",5301,1698,141948,36,3943,1,1996,7,6
"256",7034,10001,19044,36,529,1,1996,7,11
"257",6751,8680,85716,36,2381,1,1996,7,14
"258",6667,8127,155880,24,6495,1,1996,7,15
"259",6130,5541,32640,48,680,1,1996,7,18
"260",5429,2268,20196,36,561,1,1996,7,18
"261",5725,3679,444864,48,9268,1,1996,7,23
"262",6019,5033,11400,12,950,1,1996,7,25
"263",6421,6985,96768,36,2688,1,1996,7,25
"264",6992,9790,133968,48,2791,1,1996,7,27
"265",5136,846,187104,24,7796,1,1996,7,28
"266",5337,1886,162468,36,4513,1,1996,7,31
"267",5495,2580,89340,60,1489,1,1996,8,2
"268",7013,9928,89340,60,1489,1,1996,8,2
"269",6012,4994,258444,36,7179,1,1996,8,3
"270",6471,7184,155640,24,6485,1,1996,8,4
"271",6296,6358,270384,48,5633,1,1996,8,6
"272",7305,11359,54024,12,4502,1,1996,8,6
"273",6144,5593,44376,12,3698,1,1996,8,9
"274",6283,6289,85632,48,1784,1,1996,8,11
"275",7246,11054,148920,60,2482,1,1996,8,20
"276",5088,544,91152,24,3798,1,1996,8,22
"277",5988,4851,141648,24,5902,1,1996,8,22
"278",5282,1583,388512,48,8094,-1,1996,8,24
"279",5938,4650,402000,60,6700,1,1996,8,25
"280",5606,3084,253512,36,7042,-1,1996,8,28
"281",5385,2143,71460,36,1985,1,1996,9,9
"282",6865,9199,29448,12,2454,-1,1996,9,11
"283",5586,2994,48744,36,1354,1,1996,9,14
"284",6302,6397,181020,60,3017,1,1996,9,16
"285",7194,10762,68832,36,1912,1,1996,9,17
"286",6461,7136,74124,36,2059,1,1996,9,19
"287",6732,8533,174048,48,3626,1,1996,9,19
"288",6613,7926,84120,24,3505,1,1996,9,22
"289",7036,10019,194940,36,5415,1,1996,9,25
"290",5897,4476,15192,24,633,1,1996,9,25
"291",6995,9814,96168,12,8014,1,1996,9,26
"292",5415,2236,139464,36,3874,-1,1996,9,26
"293",7136,10436,54396,36,1511,1,1996,9,28
"294",7271,11186,392460,60,6541,1,1996,10,2
"295",5375,2106,101520,12,8460,1,1996,10,3
"296",5635,3230,77184,36,2144,1,1996,10,4
"297",6817,9024,70656,48,1472,1,1996,10,4
"298",5923,4585,64656,48,1347,1,1996,10,10
"299",5329,1862,396120,60,6602,1,1996,10,16
"300",6644,8039,93600,24,3900,1,1996,10,20
"301",6354,6688,22968,36,638,1,1996,10,23
"302",5082,501,262980,60,4383,1,1996,10,24
"303",6585,7795,372120,60,6202,1,1996,10,29
"304",6921,9422,86184,12,7182,1,1996,10,29
"305",5366,2062,86184,12,7182,1,1996,10,29
"306",5886,4447,192744,36,5354,1,1996,10,31
"307",5741,3754,68544,24,2856,1,1996,11,3
"308",4996,132,88440,12,7370,1,1996,11,6
"309",6015,5001,110112,24,4588,1,1996,11,9
"310",6309,6434,110136,24,4589,1,1996,11,11
"311",6073,5263,276300,60,4605,1,1996,11,12
"312",6006,4948,359760,60,5996,1,1996,11,15
"313",5611,3115,321180,60,5353,1,1996,11,15
"314",6944,9548,46176,48,962,1,1996,11,15
"315",7101,10297,421008,48,8771,1,1996,11,18
"316",6599,7859,72120,12,6010,1,1996,11,19
"317",6940,9510,228276,36,6341,1,1996,11,22
"318",5209,1250,182640,48,3805,1,1996,11,25
"319",5388,2153,61560,12,5130,1,1996,11,28
"320",6011,4981,179328,48,3736,1,1996,11,28
"321",5591,3021,155616,48,3242,1,1996,12,4
"322",7154,10520,417600,60,6960,1,1996,12,5
"323",7130,10411,123408,24,5142,1,1996,12,11
"324",6818,9030,155616,48,3242,1,1996,12,12
"325",5625,3189,222180,60,3703,-1,1996,12,15
"326",6805,8972,45024,48,938,1,1996,12,21
"327",7233,10963,115812,36,3217,1,1996,12,25
"328",7308,11362,129408,24,5392,1,1996,12,27
